IMGGenomeID,UpdatedIMGGenomeID,Clade
2681812902,2681812902,LLII.LLIII
2667527369,2667527369,LLII.LLIII
2667527368,2667527368,LLII.LLIII
2667527365,2667527365,LLII.LLIII
2667527362,2667527362,LLII.LLIII
2667527328,2667527328,LLII.LLIII
2667527327,2667527327,LLII.LLIII
2667527310,2667527310,LLII.LLIII
2667527257,2667527257,LLII.LLIII
2623620960,641228501,LLII.LLIII
2623620733,637000213,LLII.LLIII
2606217686,2606217686,LLII.LLIII
2606217685,2606217685,LLII.LLIII
2606217319,2606217319,LLII.LLIII
2606217317,2606217317,LLII.LLIII
2606217315,2606217315,LLII.LLIII
2606217314,2606217314,LLII.LLIII
2606217313,2606217313,LLII.LLIII
2606217311,2606217311,LLII.LLIII
2716884761,2716884761,LLIV
2716884759,2716884759,LLIV
2716884758,2716884758,LLIV
2716884471,2716884471,LLIV
2716884464,2716884464,LLIV
2716884444,2716884444,LLIV
2716884427,2716884427,LLIV
2716884270,2716884270,LLIV
2716884268,2716884268,LLIV
2681813575,2681813575,LLIV
2681813569,2681813569,LLIV
2681813566,2681813566,LLIV
2681812950,2846840728,LLIV
2681812949,2843619055,LLIV
2681812948,2843616342,LLIV
2681812928,2681812928,LLIV
2681812927,2846843569,LLIV
2681812926,2846846424,LLIV
2681812925,2840559756,LLIV
2681812924,2838749893,LLIV
2681812923,2681812923,LLIV
2623620962,640069323,LLIV
2606217684,2606217684,LLIV
2606217682,2606217682,LLIV
2606217681,2606217681,LLIV
2606217562,637000211,LLIV
2716884753,2716884753,LLVII
2716884752,2716884752,LLVII
2716884749,2716884749,LLVII
2716884748,2716884748,LLVII
2716884747,2716884747,LLVII
2716884745,2716884745,LLVII
2716884744,2716884744,LLVII
2716884743,2716884743,LLVII
2716884740,2716884740,LLVII
2716884739,2716884739,LLVII
2716884737,2716884737,LLVII
2716884470,2716884470,LLVII
2716884469,2716884469,LLVII
2716884468,2716884468,LLVII
2716884467,2716884467,LLVII
2716884466,2716884466,LLVII
2716884465,2716884465,LLVII
2716884463,2716884463,LLVII
2716884462,2716884462,LLVII
2716884461,2716884461,LLVII
2716884439,2716884439,LLVII
2716884435,2716884435,LLVII
2716884428,2716884428,LLVII
2716884398,2716884398,LLVII
2716884397,2716884397,LLVII
2716884396,2716884396,LLVII
2716884395,2716884395,LLVII
2716884394,2716884394,LLVII
2716884393,2716884393,LLVII
2716884391,2716884391,LLVII
2716884390,2716884390,LLVII
2716884389,2716884389,LLVII
2716884388,2716884388,LLVII
2716884386,2716884386,LLVII
2681813574,2681813574,LLVII
2681813572,2681813572,LLVII
2681813570,2681813570,LLVII
2667527375,2667527375,LLVII
2667527374,2667527374,LLVII
2667527372,2667527372,LLVII
2667527371,2667527371,LLVII
2667527370,2667527370,LLVII
2667527366,2667527366,LLVII
2667527360,2667527360,LLVII
2667527359,2667527359,LLVII
2667527358,2667527358,LLVII
2667527357,2667527357,LLVII
2667527320,2667527320,LLVII
2667527319,2667527319,LLVII
2667527318,2667527318,LLVII
2667527316,2667527316,LLVII
2667527315,2667527315,LLVII
2667527314,2667527314,LLVII
2667527313,2667527313,LLVII
2667527312,2667527312,LLVII
2667527311,2667527311,LLVII
2667527309,2667527309,LLVII
2667527265,2667527265,LLVII
2681813568,2681813568,LLVIII
2667527276,2667527276,LLVIII
2716884603,2716884603,Unclassified
